"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40027480,,"R&J SERVICES PTY LTD","Mickeys World Childcare Centre","93 Platform St",LIDCOMBE,NSW,2141,10/03/2022,
PR-40027491,,"730 Pty Ltd",,"PO BOX 182",BOTANY,NSW,1455,02/11/2021,
PR-40027499,,"Kidz Academy Kingswood Pty Ltd","Kidz Academy Kingswood Pty Ltd","level 1, 15 Sorrell St",PARRAMATTA,NSW,2150,20/09/2022,
PR-40027522,,"Adam Gatcum","Skillzone Multi-Sport Coaching","10, Gypsie Cresent",BAROOGA,NSW,3644,22/11/2021,
PR-40027540,,"KIDDIWINKS MARSDEN PARK PTY LTD ATF KIDDIWINKS MARSDEN PARK UNIT TRUST","Kiddiwinks Play Laugh & Learn Marsden Park","PO BOX 1739, Warriewood Square Shopping Centre",WARRIEWOOD,NSW,2102,04/11/2021,
PR-40027550,,"THE LITTLE CHURCH PTY LTD","Hamlyn Terrace Early Learning Centre","501 Tumbi Rd",WAMBERAL,NSW,2260,28/03/2022,
PR-40027560,,"THE RIDGE PRESCHOOL & CHILDCARE CENTRE PTY LTD","The Ridge Preschool & Childcare Centre","46 David Rd","BARDEN RIDGE",NSW,2234,06/10/2021,
PR-40027583,,"ALL SAINTS EDUCATION GROUP PTY LTD",,"11a Valentia Ave",LUGARNO,NSW,2210,28/01/2022,
PR-40027658,,"BSR Care Pty Ltd ATF IIE Unit Trust",,"Se 6, L 1  27 Hunter St",PARRAMATTA,NSW,2150,02/03/2022,
PR-40027670,,"INNER WEST KIDS PTY LTD",,"5 Arncliffe Rd",EARLWOOD,NSW,2206,02/12/2021,
PR-40027718,,"Third Day Enterprises Pty Ltd ATF Third Day Business Unit Trust",,"8 Bonanza Pde","SANS SOUCI",NSW,2219,11/03/2022,
PR-40027720,,"Trinity ELC Pty Ltd ATF Trinity ELC Trust","Trinity ELC","7 MCKEAHNIE ST",CRESTWOOD,NSW,2620,24/01/2022,
PR-40027727,,"EVEREST EARLY LEARNING PTY LTD","EVEREST EARLY LEARNING Centre","87 Lucas Road","LALOR PARK",NSW,2147,15/12/2021,
PR-40027766,,"BRIGHT STEPS PTY LTD","Bright Steps Academy","37 Woodpack St",LEPPINGTON,NSW,2179,09/05/2022,
PR-40027767,,"YOUNG GIANTS PTY LTD","YOUNG GIANTS","7 Nari Cct","MOSS VALE",NSW,2577,11/01/2022,
PR-40027785,,"JLKM INVESTMENTS PTY LTD",,"138 Old Kent Road","MOUNT LEWIS",NSW,2190,09/02/2022,
PR-40027818,,"Elouera Education Pty Ltd ATF Elouera Education Unit Trust","Elouera Early Learning","L 17  9-13 Castlereagh St",SYDNEY,NSW,2000,07/02/2022,
PR-40027874,,"AUSTRALIA ACACIA EARLY EDUCATION PTY LTD",,"12 MUNGARRA AV","ST IVES",NSW,2075,28/01/2022,
PR-40027920,,"M Kryoshen Pty Ltd","Ignite ELC","2 Haughton Ct","WATTLE GROVE",NSW,2173,25/01/2022,
PR-40027959,,"Yun Li",,"1b Mount St",REDFERN,NSW,2016,19/05/2022,
PR-40027962,,"OFF THE MAPP LEARNING PTY LTD","OFF THE MAPP LEARNING","Unit 903, L9, 50 Pitt St",SYDNEY,NSW,2000,22/02/2022,
PR-40027972,,"St Gregory Early Learning Centre Pty Ltd",,"213 MARSDEN RD",CARLINGFORD,NSW,2118,11/02/2022,
PR-40027975,,"Brittany Todd","Wildflower Family Day Care","20 FOXGROUND RD",FOXGROUND,NSW,2534,21/03/2022,
PR-40027998,,"TOTAL CARE PLATFORM PTY LTD","Total Care Platform PTY LTD","78 Harris St",MERRYLANDS,NSW,2160,11/04/2022,
PR-40028068,,"Jessica Beshara",,"227 the grand parade",MONTEREY,NSW,2217,14/02/2022,
PR-40028085,,"Antlei Pty Ltd ATF The Rosedale Trust",,"65 Hoop Pine Rd",DULGUIGAN,NSW,2484,11/04/2022,
PR-40028102,,"SUN FAMILY MANAGEMENT TWO PTY LTD",,"55 Kintore St",WAHROONGA,NSW,2076,17/02/2022,
PR-40028113,,"Kinda-Mindi Pty Ltd",,"8 DUFF PL","CASTLE HILL",NSW,2154,31/01/2022,
PR-40028118,,"SHIVSHLOK SERVICES PTY LTD",,"U 8  22 Hillcrest Rd","QUAKERS HILL",NSW,2763,21/01/2022,
PR-40028158,,"Preeti Pankesh Upadhyay",,"U 1801  36-46 Cowper St",PARRAMATTA,NSW,2150,30/03/2022,
